"","OR","2.5 %","97.5 %"
"(Intercept)",0.239806681473411,0.184034070246929,2.88480608291788
"factor(genero)Masculino",1.3445939585585,1.01872278893956,4.45475491946906
"factor(educacion)Secundaria",0.624813066245117,0.667223244920835,11.1555909085185
"factor(educacion)Universitario profesional",0.934369548463482,0.444764515655834,1.81774522367951
"factor(Agerank)26 - 35 años",0.946051947240593,0.592052234877977,4.17068372794326
"factor(Agerank)Mas de 35 años",0.583535069892835,0.328996773443344,2.36600031133418
"soltero",2.49725929878035,0.443312810109861,1.99147707168826
"finalidadamigos",1.0525343296758,0.161374752498431,0.807877412753785
"finalidad",2.55768667638681,0.270575430094714,1.62486905531771
"heterosexual",1.19341880389308,0.383039160081645,2.51550488323947
"(Intercept)",0.496338736120353,0.184034070246929,2.88480608291788
"factor(genero)Masculino",1.41703505070355,1.01872278893956,4.45475491946906
"factor(educacion)Secundaria",0.610086653526599,0.667223244920835,11.1555909085185
"factor(educacion)Universitario profesional",1.00469050565008,0.444764515655834,1.81774522367951
"factor(Agerank)26 - 35 años",0.979061722737856,0.592052234877977,4.17068372794326
"factor(Agerank)Mas de 35 años",0.607382550673527,0.328996773443344,2.36600031133418
"soltero",2.46691159891381,0.443312810109861,1.99147707168826
"finalidadpareja",0.405586366888249,0.161374752498431,0.807877412753785
"finalidadamigos",0.453558087214086,0.270575430094714,1.62486905531771
"heterosexual",1.23639943590955,0.383039160081645,2.51550488323947
"(Intercept)",0.257026766314237,0.184034070246929,2.88480608291788
"factor(genero)Masculino",1.36570609049603,1.01872278893956,4.45475491946906
"factor(educacion)Secundaria",0.609255078070599,0.667223244920835,11.1555909085185
"factor(educacion)Universitario profesional",0.92315417958923,0.444764515655834,1.81774522367951
"factor(Agerank)26 - 35 años",0.95346489670745,0.592052234877977,4.17068372794326
"factor(Agerank)Mas de 35 años",0.592873559167034,0.328996773443344,2.36600031133418
"soltero",2.51078212624769,0.443312810109861,1.99147707168826
"finalidad",2.3240620646506,0.161374752498431,0.807877412753785
"finalidadpareja",0.851152036553303,0.270575430094714,1.62486905531771
"heterosexual",1.20827673214456,0.383039160081645,2.51550488323947
