"","OR","2.5 %","97.5 %"
"(Intercept)",0.183807155724331,0.0376396188723244,0.757978712043488
"factor(genero)Masculino",1.76466619297055,0.748972246182178,4.281456148254
"factor(educacion)Secundaria",1.46347948297036,0.178926301520923,9.23003469014568
"factor(educacion)Universitario profesional",0.984931437133404,0.421182721130384,2.34893851798142
"factor(Agerank)26 - 35 años",2.42642137380681,0.719721537509959,9.80027451781053
"factor(Agerank)Mas de 35 años",2.08874253337984,0.597450148480296,8.71371797153756
"soltero",NA,NA,NA
"finalidad",0.506255618971989,0.218110804365142,1.1353647066461
