"","OR","2.5 %","97.5 %"
"(Intercept)",0.490853949493977,0.184034070246929,2.88480608291788
"factor(genero)Masculino",0.946298464575862,1.01872278893956,4.45475491946906
"factor(educacion)Secundaria",0.941214773569978,0.667223244920835,11.1555909085185
"factor(educacion)Universitario profesional",1.82349492935542,0.444764515655834,1.81774522367951
"factor(Agerank)26 - 35 años",0.873154182692944,0.592052234877977,4.17068372794326
"factor(Agerank)Mas de 35 años",4.29874098503075,0.328996773443344,2.36600031133418
"soltero",1.86589973403005,0.443312810109861,1.99147707168826
"finalidadamigos",0.327146447206918,0.161374752498431,0.807877412753785
"finalidad",0.68008012434427,0.270575430094714,1.62486905531771
"heterosexual",0.959035617022929,0.383039160081645,2.51550488323947
"(Intercept)",0.365670756434449,0.184034070246929,2.88480608291788
"factor(genero)Masculino",0.929138827991227,1.01872278893956,4.45475491946906
"factor(educacion)Secundaria",0.935900026996804,0.667223244920835,11.1555909085185
"factor(educacion)Universitario profesional",1.76676644405572,0.444764515655834,1.81774522367951
"factor(Agerank)26 - 35 años",0.862548323186535,0.592052234877977,4.17068372794326
"factor(Agerank)Mas de 35 años",4.232949598201,0.328996773443344,2.36600031133418
"soltero",1.87479395992789,0.443312810109861,1.99147707168826
"finalidadpareja",1.40646011441546,0.161374752498431,0.807877412753785
"finalidadamigos",0.458397513314174,0.270575430094714,1.62486905531771
"heterosexual",0.947485832829007,0.383039160081645,2.51550488323947
"(Intercept)",0.199734194674575,0.184034070246929,2.88480608291788
"factor(genero)Masculino",0.984897819083228,1.01872278893956,4.45475491946906
"factor(educacion)Secundaria",0.886596529606477,0.667223244920835,11.1555909085185
"factor(educacion)Universitario profesional",1.65432229789718,0.444764515655834,1.81774522367951
"factor(Agerank)26 - 35 años",0.836108821830375,0.592052234877977,4.17068372794326
"factor(Agerank)Mas de 35 años",4.20003580308492,0.328996773443344,2.36600031133418
"soltero",2.00559518915816,0.443312810109861,1.99147707168826
"finalidad",1.66986005931328,0.161374752498431,0.807877412753785
"finalidadpareja",2.42086102344126,0.270575430094714,1.62486905531771
"heterosexual",0.969640044048904,0.383039160081645,2.51550488323947
