,OR,2.50%,97.50%
(Intercept),0.359148222,0.093174568,1.31112614
factor(genero)Masculino,1.45263991,0.636802145,3.448107326
factor(educacion)Secundaria,1.152975176,0.172662703,7.821427574
factor(educacion)Universitario profesional,1.858729918,0.799485828,4.463593003
factor(Agerank)26 - 35 años,0.801841993,0.28031429,2.294404681
factor(Agerank)Mas de 35 años,5.488354536,1.772221399,18.1470476
finalidad,1.365638952,0.63289592,2.975202762
